"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Algorithm for Crop Pest and Disease Recognition Based on Residual Network","J. Feng; X. Chen; D. Fu; Q. Liu","Software Engineering Institute of Guangzhou, Guangzhou, Guangdong, China; Software Engineering Institute of Guangzhou, Guangzhou, Guangdong, China; Software Engineering Institute of Guangzhou, Guangzhou, Guangdong, China; Software Engineering Institute of Guangzhou, Guangzhou, Guangdong, China",2023 5th International Academic Exchange Conference on Science and Technology Innovation (IAECST),"25 Apr 2024","2023","","","558","561","Considering the current mainstream convolutional neural network depth is now deeper and problems like many parameters, network degradation. This paper proposes a plant pest and disease detection model (FSCNN) based on residual networks. The model combines the improved residual network with the Batch Normalization (BN) technique, which improves the relationship between image features and pest categories, enhances the model learning ability and accelerates the network convergence speed. At the same time, a Dropout layer is added to prevent model overfitting and improve model generalization ability. The experimental results show that the recognition accuracy of the model reaches 98.64% on the PlantVillage dataset, and the method proposed in this paper features fast convergence speed and high recognition accuracy.","","979-8-3503-5773-8","10.1109/IAECST60924.2023.10503050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10503050","Batch Normalization;Convolutional Neural Network;Residual Connection;Image Classification","Degradation;Technological innovation;Production;Robustness;Power capacitors;Convolutional neural networks;Diseases","","","","12","IEEE","25 Apr 2024","8-10 Dec. 2023","8-10 Dec. 2023","IEEE","IEEE Conferences"
"Using HOG Descriptors and UAV for Crop Pest Monitoring","H. Chu; D. Zhang; Y. Shao; Z. Chang; Y. Guo; N. Zhang","School of Information Engineering, Southwest University of Science and Technology, Mianyang, Sichuan, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, Sichuan, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, Sichuan, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, Sichuan, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, Sichuan, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, Sichuan, China",2018 Chinese Automation Congress (CAC),"24 Jan 2019","2018","","","1516","1519","One of the major agricultural disasters, which depressed crop production and lower-quality, is pest in China. The lack of technical and scientific knowledge to prevent pest diseases is the main reason for low productivity of these crop commodities. Traditional methods based on artificial judgment have the disadvantages of large workload, low efficiency, poor working environment, and caused damage to crops. In response to the above problems, a HOG + SVM-based crop pest monitoring drone (PM-VAV) system was proposed, which utilizes computer vision combined with the flexibility of the drone for non-contact measurement. Firstly, the real aircraft working platform of this PM-UAV system was constructed. Then, through self-built data sets satisfy the requirements of the model training for pest detection task. Secondly, the on-line monitoring task of crop pests was accomplished through the use of the Histogram of Oriented Gradient (HOG) feature and Support Vector Machine (SVM) classifier, the algorithm was ported to the airborne embedded platform NVIDIA TK1. Finally, experimental tests show that the designed monitoring aircraft can effectively implement on-line monitoring for the crop pest which contained in the self-built data set.","","978-1-7281-1312-8","10.1109/CAC.2018.8623234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8623234","pest monitoring;HOG descriptors;SVM;visual inspection;UAV","Feature extraction;Monitoring;Agriculture;Support vector machines;Visualization;Histograms;Inspection","","16","","14","IEEE","24 Jan 2019","30 Nov.-2 Dec. 2018","30 Nov.-2 Dec. 2018","IEEE","IEEE Conferences"
"Agrihelp: A Unified AI-Driven Platform for Precision Agriculture and Sustainable Farming","V. Ambhore; P. N. Gadkar; E. Govardhan; R. Raut","Information Technology, Pimpri Chinchwad College of Engineering, Pune, India; Information Technology, Pimpri Chinchwad College of Engineering, Pune, India; Information Technology, Pimpri Chinchwad College of Engineering, Pune, India; Information Technology, Pimpri Chinchwad College of Engineering, Pune, India",2025 Second International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS),"29 Jul 2025","2025","","","716","716","The integration of Machine Learning (ML) into agricultural decision-making systems holds immense potential to address critical challenges such as crop yield optimization, resource management, and pest/disease control. This research presents AgriHelp, a unified web-based platform incorporating four distinct ML models for crop recommendation, fertilizer recommendation, plant disease classification, and insect pest detection. The system processes both tabular data (soil properties, weather conditions) and image inputs (leaf/pest images) to deliver actionable insights for farmers. For crop and fertilizer recommendations, the Random Forest classifier achieves 99.6% and 99.94% accuracies respectively, by analysing soil nutrients, pH, and climatic variables. Disease and pest detection models utilize transfer learning of ResNet50v2 and transfer learning of MobileNetv2, that achieve 94.53% and 96.03% accuracies respectively. The scalable backend architecture employs APIs and cloud-hosted models, ensuring accessibility in resource-constrained regions. By unifying fragmented agricultural decision tools into a single platform, AgriHelp addresses the limitations of isolated systems and empowers farmers with data-driven precision agriculture tools. Experimental validation demonstrates robustness across diverse agro climatic conditions, highlighting its potential to transform modern agriculture.","","979-8-3315-0172-3","10.1109/ICC-ROBINS64345.2025.11086328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11086328","Crop disease detection;Pest detection;precision;recall;Transfer learning","Precision agriculture;Plant diseases;Accuracy;Transfer learning;Decision making;Transforms;Robustness;Random forests;Fertilizers;Farming","","","","12","IEEE","29 Jul 2025","25-26 June 2025","25-26 June 2025","IEEE","IEEE Conferences"
"Autonomous Bat Echolocation Monitoring System with Machine Learning for Real-Time Pest and Biodiversity Management","L. Lang; A. Corceiro; R. Antunes; M. L. De Aguiar; P. Alves; M. Agostinho; N. Pereira; C. Lopes; P. D. Gaspar","C-MAST - Centre for Mechanical and Aerospace Science and Technologies, University of Beira Interior, Covilhã, Portugal; C-MAST - Centre for Mechanical and Aerospace Science and Technologies, University of Beira Interior, Covilhã, Portugal; C-MAST - Centre for Mechanical and Aerospace Science and Technologies, University of Beira Interior, Covilhã, Portugal; C-MAST - Centre for Mechanical and Aerospace Science and Technologies, University of Beira Interior, Covilhã, Portugal; Plecotus – Estudos Ambientais, Unip. Lda, Pombal, Portugal; Sinergiae Ambiente Coimbra, Portugal; C-MAST - Centre for Mechanical and Aerospace Science and Technologies, University of Beira Interior, Covilhã, Portugal; TERRA - Sustainable Land Use and Ecosystem Services, LEAF–Linking Landscape, Environment, Agriculture and Food, School of Agriculture, University of Lisbon, Lisbon, Portugal; C-MAST - Centre for Mechanical and Aerospace Science and Technologies, University of Beira Interior, Covilhã, Portugal",2024 International Conference on Decision Aid Sciences and Applications (DASA),"17 Jan 2025","2024","","","1","5","The preservation of biodiversity and the mitigation of agricultural pests are crucial components of sustainable agriculture. This study presents the Autonomous Bat Echolocation (ABE) Monitoring System, a sustainable approach to biodiversity preservation and pest control in agriculture. The system combines auditory sensors, low-power devices, and deep learning algorithms to monitor bat activity by detecting and classifying species based on their echolocation calls. The integration of the BatDetect2 model allowed real-time processing on low-power devices within our monitoring stations, enabling efficient and continuous monitoring of bat activity. By establishing a network of these stations, the system provides real-time detection as an early warning for potential pest infestations in agricultural fields. Overall, the ABE Monitoring System is a scalable, eco-friendly tool that helps in biodiversity monitoring and supports sustainable agricultural practices, aiding farmers in pest prediction and management.","","979-8-3503-6910-6","10.1109/DASA63652.2024.10836283","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10836283","bats echolocation;machine learning;deep learning;sustainable agriculture;autonomous bat echolocation monitoring system;environmental monitoring;biodiversity","Biological system modeling;Pest control;Real-time systems;Data models;Agriculture;Sensor systems;Sensors;Biodiversity;Biomedical monitoring;Monitoring","","","","23","IEEE","17 Jan 2025","11-12 Dec. 2024","11-12 Dec. 2024","IEEE","IEEE Conferences"
"Deep Learning Based Beetle Insect Detection for Agricultural Monitoring Following Industry-Grade Best Practices","S. Mazumdar; S. Banerjee; S. Vollala; T. Bhattacharjee; T. K. Bera","Department of CSE, IIITNR, Raipur, India; Department of ECE, IIITNR, Raipur, India; Department of CSE, IIITNR, Raipur, India; Department of DSAI, IIITNR, Raipur, India; Department of EE, NIT Durgapur, Durgapur, India","2025 International Conference on Intelligent Computing, Information and Control Systems (ICOIICS)","24 Feb 2026","2025","","","1600","1605","The management of pests is essential to the health and productivity of agricultural crops. Pests represent many species that can cause economic harm to crops, but beetles, of which there are many different species, can be particularly damaging due to their potential to harm a wide variety of crops. This research focuses on the challenge of managing beetle pests through an automated classification system built on computer vision. We investigated a dataset that contains images of $\mathbf{5 8}$ species of beetles. Each species had a set of 200 images of high quality for adequate coverage and variability. We developed and trained a convolutional neural network (CNN) model on this dataset to produce an accuracy of 93% in classifying the 58 beetle species. Applying this technology in agriculture offers the opportunity to reduce damage to crops, increase yield, and contribute to sustainable forms of agriculture. Based on our study findings, computer vision has the potential to enhance agricultural pest management and can be a useful tool for both farmers and researchers.","","979-8-3315-9897-6","10.1109/ICOIICS67115.2025.11390645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11390645","","Deep learning;Computer vision;Accuracy;Crops;Agriculture;Real-time systems;Convolutional neural networks;Sustainable development;Monitoring;Resilience","","","","23","IEEE","24 Feb 2026","19-21 Nov. 2025","19-21 Nov. 2025","IEEE","IEEE Conferences"
"Research on Crop Disease and Pest Surveillance based on Big Data and Image Processing Technologies","Y. Yang; Y. Yang; H. Shu; C. Zhao; S. Deng","College of Computer and Artificial Intelligence(Software College), Huaihua University, Huaihua, China; College of Computer and Artificial Intelligence(Software College), Huaihua University, Huaihua, China; College of Computer and Artificial Intelligence(Software College), Huaihua University, Huaihua, China; College of Computer and Artificial Intelligence(Software College), Huaihua University, Huaihua, China; College of Computer and Artificial Intelligence(Software College), Huaihua University, Huaihua, China","2024 International Conference on Information Technology, Comunication Ecosystem and Management (ITCEM)","27 Mar 2025","2024","","","243","248","Recently, with the increasing complexity of agricultural systems and climate change, agricultural pest and disease surveillance and early detection have become critical tasks for guaranteeing food stability and promoting sustainable farming growth. Agricultural pest and disease surveillance is a key component of agricultural production, directly affecting crop yield and quality. As big data advances and image processing technologies rapidly, their application in crop pest and disease surveillance has become increasingly widespread. By integrating multi-source data, such as remote sensing data, meteorological data, ecological data, and pest and disease survey data, researchers can build more accurate and efficient pest and disease surveillance models. This paper reviews the research progress of big data and image processing technologies in crop pest and disease surveillance, analyzes the advantages and challenges of current technologies, and proposes future research directions to enhance the automation and intelligence of systems. Additionally, it discusses the integration of deep learning and other techniques to achieve efficient information mining and accurate retrieval of disaster-related data, aiming to provide scientific guidance and technical support for agricultural production.","","979-8-3315-4269-6","10.1109/ITCEM65710.2024.00052","Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10936782","Big Data Analysis;Image Processing Technology;Pest and Disease Detection","Crops;Plant diseases;Climate change;Pest control;Agriculture;Big Data;Surveillance;Image processing","","","","8","IEEE","27 Mar 2025","20-22 Dec. 2024","20-22 Dec. 2024","IEEE","IEEE Conferences"
"JutePest-YOLO: A Deep Learning Network for Jute Pest Identification and Detection","S. Zhang; H. Wang; C. Zhang; Z. Liu; Y. Jiang; L. Yu","School of Mathematics and Computer, Wuhan Polytechnic University, Wuhan, China; School of Mathematics and Computer, Wuhan Polytechnic University, Wuhan, China; School of Electrical and Electronic Engineering, Wuhan Polytechnic University, Wuhan, China; School of Mathematics and Computer, Wuhan Polytechnic University, Wuhan, China; School of Mathematics and Computer, Wuhan Polytechnic University, Wuhan, China; School of Mathematics and Computer, Wuhan Polytechnic University, Wuhan, China",IEEE Access,"27 May 2024","2024","12","","72938","72956","In recent years, jute, as an important natural fiber crop, has become more and more significant in the production process of insect pests, causing serious harm to agricultural production. Especially in the field of crop pest identification with complex backgrounds, fuzzy features, and multiple small targets, the lack of datasets specifically for jute pests has led to the large limitations of traditional pest identification models in terms of generalization. At the same time, the research on models specifically for jute pest detection is still in its infancy. To solve this problem, we constructed a large-scale image dataset containing nine types of jute pests, which was highly targeted and could effectively support model training and evaluation. In this study, we developed a deep convolutional neural network model based on YOLOv7, namely JutePest-YOLO. The model has optimized the Backbone, Head, and loss functions of the baseline model, and introduced the new ELAN-P module and P6 detection layer, which effectively improved the model’s ability to identify jute pests in complex backgrounds. The experimental results showed that compared with the baseline model, the Precision, Recall, and F1 scores of the JutePest-YOLO model were improved by 3.45%, 1.76%, and 2.58%, respectively; the mAP@0.5 and mAP@0.5:0.95 was improved by 2.24% and 3.25%, and the overall model’s computation (GFLOPS) was reduced by 16.05%. Compared to other advanced methods such as YOLOv8s, JutePest-YOLO has achieved superior performance in terms of detection accuracy, with a precision of 98.7% and mAP@0.5 reaching 95.68%. As a result, JutePest-YOLO not only achieved significant improvement in recognition accuracy but also optimized computational efficiency. It’s a high-performance, lightweight solution for jute pest detection.","2169-3536","","10.1109/ACCESS.2024.3403491","Key Project of the Scientific Research Program of the Hubei Provincial Department of Education(grant numbers:D20201601); Major Technical Innovation Projects of Hubei Province(grant numbers:2018ABA099); Hubei Provincial Key Laboratory of Intelligent Robot(grant numbers:HBIR202101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10535191","Jute pest detection;YOLOv7;PConv;wise-IoU;object detection;deep learning","Feature extraction;Production;YOLO;Target recognition;Diseases;Crops;Computational modeling;Pest control;Deep learning","","21","","34","CCBYNCND","20 May 2024","2024","","IEEE","IEEE Journals"
"The Study of Traditional Pest Image Recognition and Deep Learning Pest Image Recognition","C. You","Eleanor Roosevelt High School, California, US","2023 2nd International Conference on Data Analytics, Computing and Artificial Intelligence (ICDACAI)","21 Dec 2023","2023","","","604","607","Plant pests have been a serious hazard for agricultural development and have caused great economic losses to farmers. The pests not only spread plant diseases at the same time by directly causing serious crop losses in addition to the pests. They are not only large in number, but also have very complex species, growth cycles, and metamorphosis processes, which are very difficult for farmers to deal with. In recent years, based on the development of digital image processing, plant pest identification techniques can be applied to pest detection for identification and analysis. This paper introduces several common identification methods, compares traditional pest identification methods and deep learning-based pest identification methods. The traditional pest identification methods mainly focus on the digital image processing technology or machine learning algorithms without considering neural networks. In contrast, the deep learning-based methods are mainly related to the implementation of neural networks e.g. Convolutional Neural Networks. Lastly, this study compares the accuracy of existing research, and discusses future research trends and directions.","","979-8-3503-3976-5","10.1109/ICDACAI59742.2023.00120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10361063","Agricultural pest identification;Deep learning;Image recognition;YOLOv5m","Deep learning;Learning systems;Plant diseases;Image recognition;Machine learning algorithms;Plants (biology);Digital images","","6","","12","IEEE","21 Dec 2023","17-19 Oct. 2023","17-19 Oct. 2023","IEEE","IEEE Conferences"
"11 Artificial intelligence for plant disease detection: past, present, and future","J. H. Kamdar; M. D. Jasani; J. D. Jasani; J. Praba; J. J. Georrge",NA; NA; NA; NA; NA,Internet of Things and Machine Learning in Agriculture: Technological Impacts and Challenges,"","2021","","","223","238","This chapter presents a discursive literature survey on the applications of artificial intelligence (AI) techniques in plant disease detection. The agriculture field faces many problems from cultivating to harvesting. Major concerns are various disease infections. This leads to severe yield loss with environmental hazards due to extreme usage of insecticides. With insane expansion of human population, the demand for food is incessantly surging. Conventional techniques used by farmers are not only adequate to satisfy the augmenting demand but also hamper the soil by intense use of hazardous pesticides. Besides, conventional techniques, AI gives many advantages in disease detection. In 1983, computer application was used to solve a problem in agriculture for the first time. Since then, numerous approaches have been designed to figure out a large number of problems in the field of agriculture. Furthermore, many databases and decision support systems have been developed. Out of these, AI techniques have been conveyed to deliver results with better accuracy and robustness. In addition, it enabled researchers to detect the complicated details of each condition and offer a solution that could be a perfect fit for the respective problem. Different AI techniques like convolutional neural network, artificial neural network, and deep learning have been successfully used for disease detection in rice, wheat, maize, cotton, tomato, peas, potato, cucumber, cassava, berries, peach, grapes, olives, mango, banana, apple, sweet paper, tea, and so on. This chapter discusses various AI techniques that were developed and used in agriculture for plant disease detection and discourses in its future to achieve precision in farming.","","9783110691283","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10788851.pdf&bkn=10783707&pdfType=chapter","","Plant diseases;Artificial intelligence;Agriculture;Convolutional neural networks;Computer viruses;Bacteria;Image segmentation;Feature extraction;Crops;Robustness","","","","","","16 Jan 2025","","","De Gruyter","De Gruyter eBook Chapters"
"Identification of the pest corn borer in a cornfield based on YOLOv8","Z. Cairang; Z. Du; J. Zhang; M. Huang; J. Liu; C. Yang","College of Electrical Engineering, Northwest Minzu University, Lanzhou, China; College of Electrical Engineering, Northwest Minzu University, Lanzhou, China; College of Electrical Engineering, Northwest Minzu University, Lanzhou, China; College of Electrical Engineering, Northwest Minzu University, Lanzhou, China; College of Electrical Engineering, Northwest Minzu University, Lanzhou, China; College of Electrical Engineering, Northwest Minzu University, Lanzhou, China",2025 IEEE 5th International Conference on Data Science and Computer Application (ICDSCA),"29 Jan 2026","2025","","","269","273","The corn borer poses a significant threat to corn production, necessitating efficient and accurate detection methods. While deep learning models like YOLO have shown promise in agricultural pest detection, their performance in identifying pests with complex polymorphism, such as the corn borer across its various life stages, remains challenging. To address this, this paper proposes an enhanced YOLOv8 model by integrating the SEAttention mechanism into the backbone network to strengthen feature representation. We constructed a dedicated dataset containing 4,538 images encompassing multiple growth stages of the corn borer (adult, larva, egg, pupa) and other common pests. Comprehensive experiments demonstrate that our improved model achieves a mean Average Precision (mAP@0.5) of 78.0%, outperforming the baseline YOLOv8 by 4.3% and exhibiting superior performance compared to YOLOv11. Furthermore, we developed a practical, lightweight detection system with a user-friendly interface, supporting image, video, and real-time camera input. The system validates the model's robustness and practicality in complex environments, providing a valuable tool for intelligent agricultural pest monitoring.","","979-8-3315-9904-1","10.1109/ICDSCA67083.2025.11349992","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11349992","Corn Borer Detection;YOLOv8;Attention Mechanism;SEAttention;Precision Agriculture;Computer Vision","Deep learning;YOLO;Precision agriculture;Adaptation models;Accuracy;Production;Cameras;Real-time systems;Robustness;Videos","","","","10","IEEE","29 Jan 2026","29-31 Oct. 2025","29-31 Oct. 2025","IEEE","IEEE Conferences"
"Aphid-YOLO: A Lightweight Detection Model for Real-Time Identification and Counting of Aphids in Complex Field Environments","Y. Zheng; J. Qi; Y. Yang; P. Yang; Z. Yuan","School of Software, Yunnan University of China, Kunming, China; Department of Computing, Xi’an Jiaotong Liverpool University, Suzhou, China; School of Software, Yunnan University of China, Kunming, China; School of Computer Science, University of Sheffield, Sheffield, U.K.; School of Computer Science, University of Sheffield, Sheffield, U.K.",IEEE Transactions on AgriFood Electronics,"9 Oct 2025","2025","3","2","605","614","Aphids are among the most destructive pests that threaten global crop yields, harming crops through feeding and virus transmission. Accurate detection of aphids in fields is a crucial step in implementing sustainable agricultural pest management. However, the tiny size of aphids and the complex image background present significant challenges for accurate identification and classification for in-field detection. In response to the challenges, this study proposes a lightweight real-time object detection model, Aphid-YOLO (A-YOLO), for in-field aphid identification and counting. Specifically, a tiny path aggregation network with C2f-CG modules is proposed to enhance the detection ability of tiny objects while maintaining a low computational cost through efficiently fusing multilayer features. For model training, a normalized Wasserstein distance loss function is adopted to address the optimization challenges caused by the tiny size of aphids. In addition, an optimized data augmentation method, Mosaic9, is introduced to enrich training samples and positive supervised signals for addressing the classification challenge of tiny aphids. To validate the effectiveness of A-YOLO, this study conducts comprehensive experiments on an aphid detection dataset with images collected by hand-held devices from a complex field environment. Experimental results demonstrate that A-YOLO achieves outstanding detection efficiency, with an mAP@0.5 of 83.4%, an mAP@0.5:0.95 of 33.7%, an inference speed of 72 FPS, and a model size of 30.6 MB. Compared to the YOLOv8m model employing traditional Mosaic data augmentation, the proposed method improves mAP@0.5 by 5.8%, mAP@0.5:0.95 by 2.7%, increases inference speed by 5 FPS, and reduces model size by 38.4% .","2771-9529","","10.1109/TAFE.2025.3600008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11151220","Aphid detection;deep learning;lightweight;tiny object detection;you only look once (YOLO)v8","Accuracy;Training;Feature extraction;Computational modeling;Data models;Data augmentation;Semantics;Real-time systems;YOLO;Deep learning;Object detection;Pest control","","5","","34","IEEE","4 Sep 2025","Sept.-Oct. 2025","","IEEE","IEEE Journals"
"Design and Implementation of an Intelligent Agricultural Pest and Disease Identification System Based on EfficientNetV2 and Edge Computing","H. Zhang; J. Zhou; Y. Zhang; L. Feng; K. Wang","School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan Huaxia Institute of Technology, Wuhan, China",2025 IEEE 8th International Conference on Information Systems and Computer Aided Education (ICISCAE),"30 Dec 2025","2025","","","868","872","Global agriculture is currently confronted with increasingly severe production and environmental challenges, while traditional pest and disease identification methodspredominantly reliant on expert experience-often lack efficiency and precision. To address this concern, this study presents the design and implementation of an intelligent agricultural pest and disease identification system that integrates EfficientNetV2 with edge computing. Methodologically, a lightweight deep learning model is deployed at the edge to perform image recognition and inference, and a tiered architecture in conjunction with secure communication protocols ensures efficient data transmission and dynamic optimization. The experimental results indicate that the system maintains a high identification rate and low latency under resource-constrained conditions, while significantly reducing both data transfer overhead and cloud-side computational demands. Compared with conventional approaches, this framework demonstrates enhanced processing speed, scalability, and adaptability to diverse crops and environmental conditions, thereby providing a robust foundation for large-scale agricultural deployment and challenging climatic scenarios. Furthermore, it offers valuable insights for expanding the application domains of intelligent agriculture.","2770-663X","979-8-3315-2689-4","10.1109/ICISCAE66104.2025.11307407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11307407","Intelligent Agriculture;Edge Computing;EfficientNetV2;Pest and Disease Identification;Image Recognition Model Optimization","Smart agriculture;Computational modeling;Image edge detection;Crops;Computer architecture;Data models;Low latency communication;Optimization;Diseases;Edge computing","","","","5","IEEE","30 Dec 2025","27-29 Sept. 2025","27-29 Sept. 2025","IEEE","IEEE Conferences"
"Research on the Application of Convolutional Neural Network Based on YOLO Algorithm in Pest Small Target Detection","G. Kang; L. Hou; Z. Zhao; B. Lang","School of Electrical and Information Engineering, Jilin Agricultural Science and Technology University Jilin, Jilin, China; School of Electrical and Information Engineering, Jilin Agricultural Science and Technology University Jilin, Jilin, China; School of Electrical and Information Engineering, Jilin Agricultural Science and Technology University Jilin, Jilin, China; School of Electrical and Information Engineering, Jilin Agricultural Science and Technology University Jilin, Jilin, China",2023 3rd Asia-Pacific Conference on Communications Technology and Computer Science (ACCTCS),"9 Jun 2023","2023","","","131","135","In agricultural science, preventing and controlling diseases and insect pests is a key research topic. Information technology has been applied to pest detection and identification. In crop pest research, neural networks can improve accuracy and efficiency by applying image recognition and classification technology. The small size of the pests in the disease pictures makes them easy to detect. The pest small target data set is constructed in this paper to train small target detection networks. A convolutional neural network based on the YOLO algorithm was proposed to detect small targets, such as pests, with few features. This paper also proposes a mosaic-based data enhancement method, label smoothing processing, and a backbone network improvement idea to improve the detection efficiency of the YOLOv5 model.","","979-8-3503-1080-1","10.1109/ACCTCS58815.2023.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145355","YOLO;Convolutional neural network;Pest detection;Small target detection","Training;Smoothing methods;Splicing;Insects;Neural networks;Object detection;Libraries","","4","","6","IEEE","9 Jun 2023","25-27 Feb. 2023","25-27 Feb. 2023","IEEE","IEEE Conferences"
"Pest Detection using Machine Learning","S. S; C. R. Rathish; Y. K. M; S. R; S. R. K; E. Vanaja","Department of Information Science and Engineering, New Horizon College of Engineering, Bangalore, India; Department of Computer Engineering, New Horizon College of Engineering, Bangalore, India; Department of Information Science and Engineering, New Horizon College of Engineering, Bangalore, India; Department of Information Science and Engineering, New Horizon College of Engineering, Bangalore, India; Department of Computer Engineering, New Horizon College of Engineering, Bangalore, India; Department of Computer Engineering, New Horizon College of Engineering, Bangalore, India",2024 International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS),"21 May 2024","2024","","","87","91","Effective disease and pest management is critical for improving crop production and quality. However, the existing disease identification techniques pose challenges to conduct precise research and analysis on time. This study proposes a novel crop pest identification approach by utilizing a multilayer network model. For comprehensive recognition and analysis, a specialized model for pest image recognition and analysis is proposed by integrating a Convolutional Neural Network (CNN) with a VGG19 transfer learning network. In the initial stage, a robust sample dataset is established for the recognition model through image data augmentation and the application of diverse operations. The proposed technique undergoes simulation analysis by using an open-source dataset. The experimental results reveal that the suggested pest recognition model attains a commendable accuracy rate of 85%. This approach holds the potential in addressing the limitations of existing methods and fostering more effective pest management strategies for achieving improved crop outcomes.","","979-8-3503-7274-8","10.1109/ICC-ROBINS60238.2024.10533899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10533899","Object Detection;Computer Vision;Pesticides;VGG19;CNN","Image recognition;Transfer learning;Crops;Production;Nonhomogeneous media;Data augmentation;Data models","","3","","16","IEEE","21 May 2024","17-19 April 2024","17-19 April 2024","IEEE","IEEE Conferences"
"Automatic Insect Pest Identification and Recognition for Paddy Crops Pest Control","M. R. Bhuiyan; M. B. Islam; J. Abdullah; F. Badie; G. Napolitano","Faculty of Computer Science & Informatics, Berlin School of Business and Innovation (BSBI), Berlin, Germany; Department of CSE, Florida Gulf Coast University, Florida, USA; Faculty of Computer Science & Informatics, Multimedia University, Cyberjaya, Malaysia; Faculty of CSI, Berlin School of Business and Innovation (BSBI), Berlin, Germany; Faculty of CSI, Berlin School of Business and Innovation (BSBI), Berlin, Germany","2025 Fourteenth International Conference on Image Processing, Theory, Tools & Applications (IPTA)","10 Nov 2025","2025","","","1","6","Agriculture is one of the main economic pursuits of the 64 Bangladeshi districts.: in Bangladesh, about seventy percent of the workforce rely on agriculture for their living. Bangladesh's gross national revenue is much enhanced by the country's rice farming but attacks of insect pests have a great impact on rice harvests. Different insect pests require different management measures, so the accurate identification of paddy field insects is a crucial task that allows, e.g., the application of the appropriate poison for specific insect pests. This will also prevent the wasteful use of ineffective insecticides. The main challenge addressed in this work is to detect and instantly segment small harmful insects in paddy fields. To address this problem, we have used deep convolutional neural network (DCNN) learning, based on Mask-RCNN, therefore enabling a technique for visual localisation and classification of agricultural pest insects. We have also developed our own dataset of harmful insect annotated images. In the proposed Mask-RCNN model we used a ResNet101 backbone, which can detect and segment at the same time. The proposed model achieves an AP@0.5 of 85.7%, a mAP of 63.8%, and an AR@10 of 68.5, therefore generating an anticipated accuracy of 75%. ResNet101 performs better on all measures. The suggested approach should be able to identify and classify the small harmful insects, with suitable accuracy, in real-world deployments.","2154-512X","978-1-6654-5739-2","10.1109/IPTA66025.2025.11222068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11222068","Mask-RCNN;Insect Detection;Instant Segmentation;DCNN","YOLO;Training;Image segmentation;Visualization;Accuracy;Toxicology;Insects;Crops;Data models;Agriculture","","","","48","IEEE","10 Nov 2025","13-16 Oct. 2025","13-16 Oct. 2025","IEEE","IEEE Conferences"
