Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Genetic Algorithm-Based Hyperparameter Optimization for Convolutional Neural Networks in the Classification of Crop Pests,Arabian Journal for Science and Engineering,,,,10.1007/s13369-023-07916-4,Enes Ayan,2023,https://link.springer.com/article/10.1007/s13369-023-07916-4,Article
"Yield prediction, pest and disease diagnosis, soil fertility mapping, precision irrigation scheduling, and food quality assessment using machine learning and deep learning algorithms",Discover Food,,,,10.1007/s44187-025-00338-1,S. AjithS. VijayakumarN. Elakkiya,2025,https://link.springer.com/article/10.1007/s44187-025-00338-1,Article
Detecting Crop Pests and Diseases Through Deep Learning Techniques for Improved Yields,Cyber Intelligence and Information Retrieval,,,,10.1007/978-981-97-3594-5_39,Md Tanvir ChowdhuryMd Jakir HossainOmar Rafat AdnanMonjurul Islam SumonMd Sabbir HossainHabibur RahmanMahir TagwarFarid ishraq ZarifSajida Islam IptyMomena Khatun MethilaRaifa Runa,2024,https://link.springer.com/chapter/10.1007/978-981-97-3594-5_39,Conference paper
Hunger games search based deep convolutional neural network for crop pest identification and classification with transfer learning,Evolving Systems,,,,10.1007/s12530-022-09449-x,Vishakha B. SanghaviHarshad BhadkaVijay Dubey,2022,https://link.springer.com/article/10.1007/s12530-022-09449-x,Article
An Efficient Approach for&#xa0;Stink Bug Detection,Advances in Information and Communication Technology,,,,10.1007/978-3-031-80943-9_79,Trung-Hieu LeDo-Thu-Ha TranQuoc-Viet HoangDuc-Tuan-Anh NguyenChi-Thanh NguyenTien-Dat NguyenViet-Anh NguyenTrung-Kien Nguyen,2025,https://link.springer.com/chapter/10.1007/978-3-031-80943-9_79,Conference paper
Enhanced Pest Detection Using Quaternion-Based Image Segmentation in Yellow Sticky Trap Samples for Precision Agriculture,Advances in Computational Intelligence. MICAI 2024 International Workshops,,,,10.1007/978-3-031-83879-8_15,Esquivel-Félix RamiroSolís-Sánchez Luis OctavioOchoa-Zezzatti AlbertoCastañeda-Miranda Celina LizethGuerrero-Osuna Héctor Alonso,2025,https://link.springer.com/chapter/10.1007/978-3-031-83879-8_15,Conference paper
Application of knowledge distillation method with dynamic adjustment of temperature parameters in pest classification,Discover Applied Sciences,,,,10.1007/s42452-025-08097-5,Linan WangHongmin Zhao,2025,https://link.springer.com/article/10.1007/s42452-025-08097-5,Article
Real-time and effective detection of agricultural pest using an improved YOLOv5 network,Journal of Real-Time Image Processing,,,,10.1007/s11554-023-01264-0,Fang QiYuxiang WangZhe TangShuhong Chen,2023,https://link.springer.com/article/10.1007/s11554-023-01264-0,Article
Review on Pest Detection and Classification in Agricultural Environments Using Image-Based Deep Learning Models and Its Challenges,Optical Memory and Neural Networks,,,,10.3103/S1060992X23040112,P. VenkatasaichandrakanthM. Iyapparaja,2023,https://link.springer.com/article/10.3103/S1060992X23040112,Article
A knowledge graph for crop diseases and pests in China,Scientific Data,,,,10.1038/s41597-025-04492-0,Rongen YanPing AnXianghao MengYakun LiDongmei LiFu XuDepeng Dang,2025,https://link.springer.com/article/10.1038/s41597-025-04492-0,Article
Pest Detection and Eco-Friendly Pesticide Sorting Using Deep Learning,Innovations and Advances in Cognitive Systems,,,,10.1007/978-3-031-69201-7_6,B. TapasviMohammed ShireenPenta Nithin KumarNuli Shanmukha Manikanta KalyanPuppala Mohan Murari,2024,https://link.springer.com/chapter/10.1007/978-3-031-69201-7_6,Conference paper
Time series forecasting of wheat crop productivity in Egypt using deep learning techniques,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00547-4,Amal MahmoudAmmar MohammedM. M. abdel wahabA. A. Khalil,2024,https://link.springer.com/article/10.1007/s41060-024-00547-4,Article
High-precision pest and disease detection in greenhouses using the novel IM-AlexNet framework,npj Science of Food,,,,10.1038/s41538-025-00426-7,Ruipeng TangNarendra Kumar AridasMohamad Sofian Abu TalipJianbu YangJianrui Tang,2025,https://link.springer.com/article/10.1038/s41538-025-00426-7,Article
A large language model for multimodal identification of crop diseases and pests,Scientific Reports,,,,10.1038/s41598-025-01908-0,Yiqun WangFahai WangWenbai ChenBowen LvMengchen LiuXiangyuan KongChunjiang ZhaoZhaocen Pan,2025,https://link.springer.com/article/10.1038/s41598-025-01908-0,Article
Chinese crop diseases and pests named entity recognition based on variational information bottleneck and feature enhancement,Scientific Reports,,,,10.1038/s41598-025-04252-5,Runqing HuangMeijing LiHuilin ZhengZiqi Zhao,2025,https://link.springer.com/article/10.1038/s41598-025-04252-5,Article
Design and optimization of a new corn–weed detection model with YOLOv8–GAS based on artificial intelligence,Journal of Real-Time Image Processing,,,,10.1007/s11554-025-01742-7,Li LiRui SunYifeng Xu,2025,https://link.springer.com/article/10.1007/s11554-025-01742-7,Article
A Deep Learning Approach for&#xa0;Detecting Pests and&#xa0;Diseases in&#xa0;Maize Crops,"Data Science, AI and Applications",,,,10.1007/978-3-032-11335-1_23,Al Rafi AhmedFaisal ImranMD Abdullah Ibne Aziz,2025,https://link.springer.com/chapter/10.1007/978-3-032-11335-1_23,Conference paper
Automatic monitoring of flying vegetable insect pests using an RGB camera and YOLO-SIP detector,Precision Agriculture,,,,10.1007/s11119-022-09952-w,Qingwen GuoChuntao WangDeqin XiaoQiong Huang,2022,https://link.springer.com/article/10.1007/s11119-022-09952-w,Article
A YOLO-Based Insect Detection: Potential Use of&#xa0;Small Multirotor Unmanned Aerial Vehicles (UAVs) Monitoring,"Optimization, Learning Algorithms and Applications",,,,10.1007/978-3-031-53025-8_1,Guido S. BergerJoão MendesArezki Abderrahim ChellalLuciano Bonzatto JuniorYago M. R. da SilvaMatheus ZorawskiAna I. PereiraMilena F. PintoJoão CastroAntónio ValenteJosé Lima,2024,https://link.springer.com/chapter/10.1007/978-3-031-53025-8_1,Conference paper
Challenges to Agriculture Production Under Climate Change,Agricultural Nutrient Pollution and Climate Change,,,,10.1007/978-3-031-80912-5_2,Warren Hwa-Jen KuoChia-Lin ChungKai-Wei JuangChih-Wei TungLi-yu Daisy Liu,2025,https://link.springer.com/chapter/10.1007/978-3-031-80912-5_2,Chapter
Machine Learning and Deep Learning Techniques for Pest and Disease Detection in Sustainable Agriculture: A Study,Innovations in Cybersecurity and Data Science,,,,10.1007/978-981-97-5791-6_30,K. S. GuhanHelen K. JoyR. SrideviA. Electa Alice JayaraniD. Vanusha,2024,https://link.springer.com/chapter/10.1007/978-981-97-5791-6_30,Conference paper
An Enhanced Wheat Stripe Rust Segmentation Approach Using Vision Transformer Model,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-025-00873-w,Nosheen UsmanTauqir AhmadFaiza IqbalAyesha AltafNagwan Abdel SameeManal Abdullah AlohaliImran Ashraf,2025,https://link.springer.com/article/10.1007/s44196-025-00873-w,Article
Research on eggplant pest and disease detection in complex environments based on improved RT-DETR,BMC Plant Biology,,,,10.1186/s12870-025-07518-2,Hui SunRui FuZhijun ZhangHao SunYangkwon JeongJinlong Lyu,2025,https://link.springer.com/article/10.1186/s12870-025-07518-2,Article
Early Identification of Rice Leaf Diseases Using Deep Learning,Communication and Intelligent Systems,,,,10.1007/978-981-96-5723-0_25,Garv SharmaVibhay BakshiMamta Arora,2025,https://link.springer.com/chapter/10.1007/978-981-96-5723-0_25,Conference paper
Vision-Guided Robot for Agriculture Assistance,"Recent Advances in Machines, Mechanisms, Materials and Design",,,,10.1007/978-981-97-5423-6_46,Rohit R. PatilSandesh NayakHemanthkumar J. KabojinavarShivaprasad S. SankangoudarVishal B. Channammanavar,2024,https://link.springer.com/chapter/10.1007/978-981-97-5423-6_46,Conference paper
A Novel Predictive Model for Integrating Pest Detection and Environmental Factors for Food Security Assessment,Water and Food Security in the Face of Climate Change: Challenges and Opportunities for Resilience,,,,10.1007/978-3-032-00098-9_37,Muhammad QasimDanish MehmoodAsifa BibiGhufran AhmedAdnan Akhunzada,2025,https://link.springer.com/chapter/10.1007/978-3-032-00098-9_37,Conference paper
Benchmarking of computer vision methods for energy-efficient high-accuracy olive fly detection on edge devices,Multimedia Tools and Applications,,,,10.1007/s11042-024-18589-y,José L. MiraJesús BarbaFrancisco P. RomeroM. Soledad EscolarJulián CabaJuan C. López,2024,https://link.springer.com/article/10.1007/s11042-024-18589-y,Article
Crossing multiple life stages: fine-grained classification of agricultural pests,Plant Methods,,,,10.1186/s13007-024-01317-w,Yuantao HanCong ZhangXiaoyun ZhanQiuxian HuangZheng Wang,2024,https://link.springer.com/article/10.1186/s13007-024-01317-w,Article
Precision Agriculture: A Novel Approach on AI-Driven Farming,Intelligent Robots and Drones for Precision Agriculture,,,,10.1007/978-3-031-51195-0_7,Elakkiya ElangoAhamedLebbe HaneesBalasubramanian ShanmuganathanMohamed Imran Kareem Basha,2024,https://link.springer.com/chapter/10.1007/978-3-031-51195-0_7,Chapter
Agri-NER-Net: Glyph Fusion for Chinese Field Crop Diseases and Pests Named Entity Recognition Network,Automatic Control and Computer Sciences,,,,10.3103/S0146411624701141,Lou JianlouChi XinyanHuo GuangJin QiHong ZhaoyangYang Chuang,2024,https://link.springer.com/article/10.3103/S0146411624701141,Article
MSTA-YOLOv11: an improved detection model for maize pests and diseases under complex scenes,Journal of Real-Time Image Processing,,,,10.1007/s11554-025-01821-9,Lijun YuanFang Wang,2025,https://link.springer.com/article/10.1007/s11554-025-01821-9,Article
HDL-Net: Hybrid deep learning and IoT Network-based system for pest detection using pest sound analytics,Discover Applied Sciences,,,,10.1007/s42452-025-07747-y,Md. Akkas AliMd. Shohel SayeedSiti Fatimah Abdul Razak,2025,https://link.springer.com/article/10.1007/s42452-025-07747-y,Article
Artificial intelligence in sustainable horticultural production: a systematic review,Discover Plants,,,,10.1007/s44372-025-00455-2,Vidisha ChaudharyMukesh KumarVeena ChaudharyRavi KumarChetan Chauhan,2025,https://link.springer.com/article/10.1007/s44372-025-00455-2,Article
Comprehensive survey on residual neural networks improvements in agricultural applications,Neural Computing and Applications,,,,10.1007/s00521-025-11682-9,Elhossiny IbrahimMedhat HamdyAdel S. El-FishawySami A EldolilHeba El-Hoseny,2025,https://link.springer.com/article/10.1007/s00521-025-11682-9,Article
Application and Prospect of Deep Learning in Plant Leaf Disease Detection and Recognition,Proceedings of 4th 2024 International Conference on Autonomous Unmanned Systems (4th ICAUS 2024),,,,10.1007/978-981-96-3552-8_50,Ping HeJun PanWeidong Li,2025,https://link.springer.com/chapter/10.1007/978-981-96-3552-8_50,Conference paper
Research on Maize Disease Classification System Based on Deep Learning,"Innovative Computing 2025, Volume 3",,,,10.1007/978-981-96-8007-8_25,Bin HuangQilong TengYou Tang,2025,https://link.springer.com/chapter/10.1007/978-981-96-8007-8_25,Conference paper
Comprehensive Performance Analysis of Multiple Mango Leaf Diseases Detection Using Deep Learning,Advanced Informatics for Computing Research,,,,10.1007/978-3-031-84062-3_27,Mahek SiroyaPurvi PrajaptiHemant Yadav,2025,https://link.springer.com/chapter/10.1007/978-3-031-84062-3_27,Conference paper
Rethinking feature representation and attention mechanisms in intelligent recognition of leaf pests and diseases in wheat,Scientific Reports,,,,10.1038/s41598-025-99027-3,Yuhan ZhangDongsheng Liu,2025,https://link.springer.com/article/10.1038/s41598-025-99027-3,Article
Deep Learning Object Detection for Image Analysis of Cherry Fruit Fly (<i>Rhagoletis cerasi&#xa0;L</i>.) on Yellow Sticky Traps,Gesunde Pflanzen,,,,10.1007/s10343-022-00794-0,Christian SalamutIris KohnertNiels LandwehrMichael PflanzMichael SchirrmannMohammad Zare,2022,https://link.springer.com/article/10.1007/s10343-022-00794-0,Article
"Employing IoT and pest sound analysis with multi-feature and multi-deep learning networks for detecting, preventing and controlling the pests in expansive farmland",International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02685-y,Md. Akkas AliMd Shohel SayeedSiti Fatimah Abdul Razak,2025,https://link.springer.com/article/10.1007/s13042-025-02685-y,Article
Review of Classification and Detection for Insects/Pests Using Machine Learning and Deep Learning Approach,Artificial Intelligence: Theory and Applications,,,,10.1007/978-981-99-8476-3_14,Sanjyot ThuseMeena Chavan,2024,https://link.springer.com/chapter/10.1007/978-981-99-8476-3_14,Conference paper
MAG-YOLOv8 model for moth adult and larva detection based on multi-scale fusion,Discover Computing,,,,10.1007/s10791-025-09885-8,Jiarong YangHaiming NiWenli AnYan RenGuoxin LiChuanwang Cao,2025,https://link.springer.com/article/10.1007/s10791-025-09885-8,Article
Multiscale Feature Pyramid Network-Enabled Deep Learning and IoT-Based Pest Detection System Using Sound Analytics in Large Agricultural Field,Proceedings of Third International Conference on Computing and Communication Networks,,,,10.1007/978-981-97-0892-5_1,Md. Akkas AliAnupam Kumar SharmaRajesh Kumar Dhanaraj,2024,https://link.springer.com/chapter/10.1007/978-981-97-0892-5_1,Conference paper
Banana Leaf Disease Detection and Classification Using CNN Model,Proceedings of Fourth International Conference on Computing and Communication Networks,,,,10.1007/978-981-96-6124-4_52,S. ManojVirendra Kumar ShrivastavaAbdel-Hamid Soliman,2025,https://link.springer.com/chapter/10.1007/978-981-96-6124-4_52,Conference paper
An Automatic Pests Detection and Classification Using Improved Convolution Neural Network Framework with Image Segmentation,Proceedings of Fourth International Conference on Computing and Communication Networks,,,,10.1007/978-981-96-3253-4_12,Sukhwinder KaurRajeev Kumar BediTajinder SinghS. K. Gupta,2025,https://link.springer.com/chapter/10.1007/978-981-96-3253-4_12,Conference paper
A multi-objective optimization framework for large-scale crop land allocation: a case study on Algeria,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00907-8,Amira KerkadRabah Gouri,2025,https://link.springer.com/article/10.1007/s41060-025-00907-8,Article
"Bridging agriculture, health and industry through plant molecular farming in the bioeconomic era",npj Science of Plants,,,,10.1038/s44383-025-00011-7,Kathleen HefferonAdam GannonAbdullah Mohammad Shohael,2025,https://www.nature.com/articles/s44383-025-00011-7,Article
Applications of 2D Materials in Agriculture,2D Materials,,,,10.1007/978-981-96-8586-8_11,Mohd AnasBushra FatimaZainab ZahidNashra Waqar,2025,https://link.springer.com/chapter/10.1007/978-981-96-8586-8_11,Chapter
Advancements in Sugarcane Plant Disease Detection and Classification: A Comprehensive Review and Future Directions,Integration of Artificial Intelligence in IoT: Opportunities and Challenges,,,,10.1007/978-981-96-5918-0_19,Aditi Patangrao PatilMahadev S. Patil,2025,https://link.springer.com/chapter/10.1007/978-981-96-5918-0_19,Conference paper
Automated Insect Detection and Classification Using Pelican Optimization Algorithm with Deep Learning on Internet of Enabled Agricultural Sector,SN Computer Science,,,,10.1007/s42979-024-02893-3,Mohammed AssiriElmouez Samir Abd ElhameedArun KumarChinu Singla,2024,https://link.springer.com/article/10.1007/s42979-024-02893-3,Article
Development of a&#xa0;Slug Detection and Localization System for a&#xa0;Pest Control Robot in Organic Horticulture,Journal of Crop Health,,,,10.1007/s10343-024-01031-6,Mohammadreza HassanzadehtaloukiAbozar NasirahmadiUlrike WilczekOliver JungwirthOliver Hensel,2024,https://link.springer.com/article/10.1007/s10343-024-01031-6,Article
Deep Learning and Reinforcement Learning Methods for Advancing Sustainable Agricultural and Natural Resource Management,Harnessing Data Science for Sustainable Agriculture and Natural Resource Management,,,,10.1007/978-981-97-7762-4_9,Soumyashree KarJ. Adinarayana,2024,https://link.springer.com/chapter/10.1007/978-981-97-7762-4_9,Chapter
Deep Learning in&#xa0;Strawberry Growth Monitoring Research: A Review,6GN for Future Wireless Networks,,,,10.1007/978-3-031-53404-1_7,Shuhao TianPengpeng ZhangXiaoya Wang,2024,https://link.springer.com/chapter/10.1007/978-3-031-53404-1_7,Conference paper
Automatic root measurement: a lightweight method for measuring pea root length,Plant Methods,,,,10.1186/s13007-025-01479-1,Haoyu JiangChenhan HuLuxu TianTengfei LiuWeili SunXiuqing FuChenhao JinBo ZhangFei Hu,2025,https://link.springer.com/article/10.1186/s13007-025-01479-1,Article
A deep learning model for predicting risks of crop pests and diseases from sequential environmental data,Plant Methods,,,,10.1186/s13007-023-01122-x,Sangyeon LeeChoa Mun Yun,2023,https://link.springer.com/article/10.1186/s13007-023-01122-x,Article
Multi-kernel inception aggregation diffusion network for tomato disease detection,BMC Plant Biology,,,,10.1186/s12870-024-05797-9,Hao SunChangying FanXiaomei GaiMohammed Abdulhakim Al-AbsiShiyu WangMuhammed AlamXuewei WangRui Fu,2024,https://link.springer.com/article/10.1186/s12870-024-05797-9,Article
MAM-IncNet: an end-to-end deep learning detector for Camellia pest recognition,Multimedia Tools and Applications,,,,10.1007/s11042-023-16680-4,Junde ChenWeirong ChenY. A. NanehkaranM. D. Suzauddola,2023,https://link.springer.com/article/10.1007/s11042-023-16680-4,Article
A novel nondestructive detection approach for seed cotton lint percentage using deep learning,Journal of Cotton Research,,,,10.1186/s42397-024-00178-x,Geng LijieYan PengjiJi ZhikunSong ChunyuSong ShuaifeiZhang RuiliangZhang ZhifengZhai YushengJiang LiyingYang Kun,2024,https://link.springer.com/article/10.1186/s42397-024-00178-x,Article
Efficient Sparse Tensor Core Networks for&#xa0;Real-Time Insect Classification in&#xa0;Agriculture,Advanced Network Technologies and Intelligent Computing,,,,10.1007/978-3-031-83790-6_11,P. Kiran RaoP. Suman PrakashN. Jaswanth KumarV. Kartheek ReddyArigela Satheesh Kumar,2025,https://link.springer.com/chapter/10.1007/978-3-031-83790-6_11,Conference paper
Enhanced GRU-BiLSTM Technique for Crop Yield Prediction,Multimedia Tools and Applications,,,,10.1007/s11042-024-18898-2,Swati VashishtPraveen KumarMunesh Chandra Trivedi,2024,https://link.springer.com/article/10.1007/s11042-024-18898-2,Article
Pest Management in&#xa0;Olive Cultivation Through Computer Vision: A Comparative Study of&#xa0;Detection Methods for&#xa0;Yellow Sticky Traps,Robot 2023: Sixth Iberian Robotics Conference,,,,10.1007/978-3-031-59167-9_31,João MendesGuido S. BergerJosé LimaLino CostaAna I. Pereira,2024,https://link.springer.com/chapter/10.1007/978-3-031-59167-9_31,Conference paper
Harnessing AI and Machine Learning for Effective Pest and Disease Control,Ecologically Mediated Development,,,,10.1007/978-981-96-2413-3_21,S. K. M. D. AjaharuddinKaushik Kumar DasPayel KarSubrata GoswamiSwarnali BhattacharyaChandan Maharana,2025,https://link.springer.com/chapter/10.1007/978-981-96-2413-3_21,Chapter
Automated detection of cotton aphids (<i>Aphis gossypii</i>&#xa0;Glover) using a bi-enhanced attention mechanism and domain-adaptive transfer learning strategy,Artificial Intelligence Review,,,,10.1007/s10462-025-11457-7,Yuxian HuangYuan ZhangJingkun YanChu ZhangPan GaoXin Lv,2025,https://link.springer.com/article/10.1007/s10462-025-11457-7,Article
Tech-Enabled Sustainability: Leveraging Technology for a Greener Future Through Smart Climate Agriculture,"Future of AI, IoT, and Sustainability",,,,10.1007/978-3-031-76286-4_10,Jyotirmay MahapatraJagjeet SinghDebasis GountiaRamesh K. Sahni,2025,https://link.springer.com/chapter/10.1007/978-3-031-76286-4_10,Chapter
Artificial Intelligence and Its Application in Disaster Risk Reduction in the Agriculture Sector,Disaster Risk Reduction and Rural Resilience,,,,10.1007/978-981-97-6671-0_15,Debanga Raj NeogGautam SinghaSoumyabrata DevEnamul Hoque Prince,2024,https://link.springer.com/chapter/10.1007/978-981-97-6671-0_15,Chapter
Enhancing image based classification for crop disease detection using a multiclass SVM approach with kernel comparison,Scientific Reports,,,,10.1038/s41598-025-23568-w,Parkavi SridharParthiban Angamuthu,2025,https://link.springer.com/article/10.1038/s41598-025-23568-w,Article
Classification of&#xa0;Insect Pest Using Transfer Learning Mechanism,Computer Vision and Image Processing,,,,10.1007/978-3-031-58535-7_7,Parveen MalikManoj Kumar Parida,2024,https://link.springer.com/chapter/10.1007/978-3-031-58535-7_7,Conference paper
Deep Learning for Agricultural Visual Perception,,,,,10.1007/978-981-99-4973-1,Rujing WangLin JiaoKang Liu,2023,https://link.springer.com/book/10.1007/978-981-99-4973-1,Book
Determination of tomato leafminer: <i>Tuta absoluta</i> (Meyrick) (Lepidoptera: Gelechiidae) damage on tomato using deep learning instance segmentation method,European Food Research and Technology,,,,10.1007/s00217-024-04516-w,Tahsin UygunMehmet Metin Ozguven,2024,https://link.springer.com/article/10.1007/s00217-024-04516-w,Article
Sensor fusion techniques in deep learning for multimodal fruit and vegetable quality assessment: A comprehensive review,Journal of Food Measurement and Characterization,,,,10.1007/s11694-024-02789-z,Raj SinghR. NishaRavindra NaikKonga UpendarC. NickhilSankar Chandra Deka,2024,https://link.springer.com/article/10.1007/s11694-024-02789-z,Article
Lightweight YOLOv8-based real-time detection of rice blast for edge computing devices,Journal of Real-Time Image Processing,,,,10.1007/s11554-025-01681-3,Song YangXiaoyun MaDayang LiuLiangkuan Zhu,2025,https://link.springer.com/article/10.1007/s11554-025-01681-3,Article
Pest Detection in&#xa0;Olive Groves Using YOLOv7 and&#xa0;YOLOv8 Models,"Optimization, Learning Algorithms and Applications",,,,10.1007/978-3-031-53036-4_4,Adília AlvesJosé PereiraSalik KhanalA. Jorge MoraisVitor Filipe,2024,https://link.springer.com/chapter/10.1007/978-3-031-53036-4_4,Conference paper
The application of FCM-based computer image segmentation technology in agricultural production,Service Oriented Computing and Applications,,,,10.1007/s11761-024-00425-8,Heng LiaoHuadong Huang,2024,https://link.springer.com/article/10.1007/s11761-024-00425-8,Article
An Improved Deep Learning Model Implementation for Pest Species Detection,Artificial Intelligence: Towards Sustainable Intelligence,,,,10.1007/978-3-031-47997-7_9,Nikita AgarwalTina KalitaAshwani Kumar DubeyShreyas OmAnika Dogra,2023,https://link.springer.com/chapter/10.1007/978-3-031-47997-7_9,Conference paper
An improved YOLOv5-based apple leaf disease detection method,Scientific Reports,,,,10.1038/s41598-024-67924-8,Zhengyan LiuXu Li,2024,https://link.springer.com/article/10.1038/s41598-024-67924-8,Article
HSFPN-Det: an effective model for detecting rice pests and diseases,The Visual Computer,,,,10.1007/s00371-025-04225-9,Yang YangYuxin HongWenjie YuXiao ZhangBo YangMeng ShiYangguang SunJun WangJianlin Zhu,2025,https://link.springer.com/article/10.1007/s00371-025-04225-9,Article
Application of Artificial Intelligence and Machine Learning in Agriculture,Translating Physiological Tools to Augment Crop Breeding,,,,10.1007/978-981-19-7498-4_21,Sudeep MarwahaChandan Kumar DebMd. Ashraful HaqueSanchita NahaArpan Kumar Maji,2023,https://link.springer.com/chapter/10.1007/978-981-19-7498-4_21,Chapter
Data Storage in Digital Agriculture,Digital Agriculture,,,,10.1007/978-3-031-67679-6_5,Muhammad Azhar Iqbal,2024,https://link.springer.com/chapter/10.1007/978-3-031-67679-6_5,Chapter
Disease Classification of Star Fruit (Averrhoa carambola L.) Using Deep Learning,Recent Advances in Artificial Intelligence and Smart Applications,,,,10.1007/978-981-96-5822-0_2,Samanawaya DattaSakyojit BanerjeeSusovan Jana,2025,https://link.springer.com/chapter/10.1007/978-981-96-5822-0_2,Conference paper
Agricultural Insect Pest’s Recognition System Using Deep Learning Model,Third Congress on Intelligent Systems,,,,10.1007/978-981-19-9225-4_22,Sapna DewariMeenu GuptaRakesh Kumar,2023,https://link.springer.com/chapter/10.1007/978-981-19-9225-4_22,Conference paper
"An integrated approach to gender equality, diversity, and inclusion in the development of artificial intelligence tools in agriculture and food system in Africa",AI & SOCIETY,,,,10.1007/s00146-025-02722-y,Nicholas OzorJoel NwakaireDaisy SalifuRex SagoeCynthia NwobodoMarie-Katherine WallerShannon Sutton,2025,https://link.springer.com/article/10.1007/s00146-025-02722-y,Article
"Revolutionizing Agriculture: Integrating IoT Cloud, and Machine Learning for Smart Farm Monitoring and Precision Agriculture",Computational Intelligence in Internet of Agricultural Things,,,,10.1007/978-3-031-67450-1_4,Y. Baby KalpanaJ. NirmaladeviR. SabithaS. Ganapathi AmmalB. DhiyaneshR. Radha,2024,https://link.springer.com/chapter/10.1007/978-3-031-67450-1_4,Chapter
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,Scientific Reports,,,,10.1038/s41598-025-32520-x,Nibedita DebTawfikur RahmanMd. MoniruzzamanAmeen Salem Bin ObadiNoorlindawaty Md. JizatSamir Salem Al-BawriAbdullah Al Mahfazur Rahman,2025,https://link.springer.com/article/10.1038/s41598-025-32520-x,Article
Advancing plant leaf disease detection integrating machine learning and deep learning,Scientific Reports,,,,10.1038/s41598-024-72197-2,R. SujathaSushil KrishnanJyotir Moy ChatterjeeAmir H. Gandomi,2025,https://link.springer.com/article/10.1038/s41598-024-72197-2,Article
"Precision Agriculture Tools, Techniques, and Future Directions for Climate Resilience",Climate-Smart Agricultural Technologies,,,,10.1007/978-981-96-7699-6_5,Sourajit DeyNishadini WidanagamageSomdatta AcharUdit DebangshiSindhu PallaJiyung KimGaurav Jha,2025,https://link.springer.com/chapter/10.1007/978-981-96-7699-6_5,Chapter
Spatial Monitoring and Insect Behavioural Analysis Using Computer Vision for Precision Pollination,International Journal of Computer Vision,,,,10.1007/s11263-022-01715-4,Malika Nisal RatnayakeDon Chathurika AmarathungaAsaduz ZamanAdrian G. DyerAlan Dorin,2022,https://link.springer.com/article/10.1007/s11263-022-01715-4,Article
Recognition of diseases of maize crop using deep learning models,Neural Computing and Applications,,,,10.1007/s00521-022-08003-9,Md. Ashraful HaqueSudeep MarwahaChandan Kumar DebSapna NigamAlka Arora,2022,https://link.springer.com/article/10.1007/s00521-022-08003-9,Article
Crop and Fertiliser Recommendation System for Sustainable Agricultural Development,Intelligent Robots and Drones for Precision Agriculture,,,,10.1007/978-3-031-51195-0_16,K. SankareswariG. Sujatha,2024,https://link.springer.com/chapter/10.1007/978-3-031-51195-0_16,Chapter
Decision support systems in precision agriculture and conservation,Precision agriculture for sustainability: Second edition,,,,10.19103/AS.2025.0152.09,Peter KyverygaPriscila CanoPedro CisdeliCarlos HernándezGustavo SantiagoIgnacio Ciampitti,2025,https://link.springer.com/chapter/10.19103/AS.2025.0152.09,Chapter
Improving the generalization capability of YOLOv5 on remote sensed insect trap images with data augmentation,Multimedia Tools and Applications,,,,10.1007/s11042-023-16578-1,Jozsef Suto,2023,https://link.springer.com/article/10.1007/s11042-023-16578-1,Article
Self-supervised Transformer-Based Pre-training Method with General Plant Infection Dataset,Pattern Recognition and Computer Vision,,,,10.1007/978-981-97-8490-5_14,Zhengle WangRuifeng WangMinjuan WangTianyun LaiMan Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-97-8490-5_14,Conference paper
Android Application for Soil Insect Detection Using CNN,"Signal Processing, Telecommunication and Embedded Systems with  AI and ML Applications",,,,10.1007/978-981-97-8422-6_39,Nidhi SindhwaniUmesh ChandraVinod Motiram RathodJomy JohnRohit AnandRashmi VashisthAnkur Gupta,2025,https://link.springer.com/chapter/10.1007/978-981-97-8422-6_39,Conference paper
A Review of&#xa0;Plant Disease and&#xa0;Insect Pest Detection Based on&#xa0;Deep Learning,Proceedings of 2022 Chinese Intelligent Systems Conference,,,,10.1007/978-981-19-6226-4_12,Zhonghua MiaoGuodong HuangNan LiTeng SunYutao Wei,2022,https://link.springer.com/chapter/10.1007/978-981-19-6226-4_12,Conference paper
Introduction,Deep Learning for Agricultural Visual Perception,,,,10.1007/978-981-99-4973-1_1,Rujing WangLin JiaoKang Liu,2023,https://link.springer.com/chapter/10.1007/978-981-99-4973-1_1,Chapter
"Role of ICT and Artificial Intelligence in Disease Diagnosis, Forecast, and Management",Diseases of Field Crops: Diagnostics and Management,,,,10.1007/978-981-97-6160-9_19,S. N. IslamSudeep MarwahaChandan Kumar DebMd Ashraful Haque,2024,https://link.springer.com/chapter/10.1007/978-981-97-6160-9_19,Chapter
An Efficient Infectious Disease Detection in&#xa0;Plants Using Deep Learning,Intelligent Technologies,,,,10.1007/978-981-97-5204-1_3,C. K. SunilC. D. Jaidhar,2024,https://link.springer.com/chapter/10.1007/978-981-97-5204-1_3,Chapter
